@Ordspråk|Vad är
Aswanprojektet|Egypten planerade den stora höga dammen vid Nilen under årtiondet, en fråga som kopplades till stormaktsrivalitet.
Kitchen Debate|Richard Nixon och Nikita Chrusjtjov diskuterade 1959 kapitalism och kommunism i ett amerikanskt modellkök i Moskva.
Bandungkonferensen|Representanter från 29 asiatiska och afrikanska stater möttes i Indonesien 1955 för att diskutera samarbete, kolonialism och stormaktsneutralitet.
Kinesisk-sovjetisk vänskap|Mao och Stalin undertecknade 1950 ett alliansfördrag, även om relationen senare försämrades kraftigt.
Brown mot Board of Education|USA:s högsta domstol slog 1954 fast att rassegregerade offentliga skolor stred mot konstitutionen.
Transistorradions genombrott|Små halvledarkomponenter gjorde radioapparater allt mindre, billigare och mer bärbara under andra halvan av årtiondet.
[VEM]Gamal Abdel Nasser~Nasser|Som Egyptens president nationaliserade han Suezkanalbolaget i juli 1956 och blev en ledande företrädare för arabisk nationalism.
Stalins död|Sovjetunionens långvarige diktator avled 1953, vilket öppnade en period av maktkamp och senare avstalinisering.
Euratom|Denna europeiska gemenskap bildades genom ett av Romfördragen 1957 för att främja samarbete kring fredlig användning av kärnenergi.
Explorer 1|USA:s första satellit sköts upp 1958 och bidrog till upptäckten av strålningsbälten runt jorden.

@Svenska 1900-talet|Vad är
folkhemsepoken|Den svenska välfärdsstatens utbyggnad förknippas starkt med idén om samhället som ett gemensamt hem utan stora klassklyftor.
Pomperipossadebatten|Astrid Lindgrens satiriska saga från 1976 om en extrem marginalskatt blev ett uppmärksammat inlägg i svensk skattedebatt.
ATP-striden|En hård politisk konflikt på 1950-talet handlade om införandet av ett allmänt system för tilläggspension.
miljonprogrammet|Mellan mitten av 1960-talet och mitten av 1970-talet byggdes omkring en miljon bostäder inom denna omfattande satsning.
Olof Palmes mord|Statsministern sköts på Sveavägen i Stockholm den 28 februari 1986 efter ett biobesök.
IB-affären|Journalister avslöjade 1973 en hemlig svensk underrättelseorganisation som registrerat vänsteraktivister och samarbetat internationellt.
Almstriden|Protester i Kungsträdgården 1971 stoppade planerna på att fälla almar för en tunnelbaneuppgång.
Norrmalmsregleringen|Stora delar av centrala Stockholm revs och byggdes om under efterkrigstiden genom denna omfattande stadsomvandling.
En svensk tiger|Den blågula beredskapsaffischen från 1941 använde en ordlek med ett randigt kattdjur för att uppmana allmänheten att inte prata om känsliga uppgifter.
Midsommarkrisen 1941|Den svenska regeringen splittrades kring frågan om att låta en tysk division resa genom landet till Finland under kriget.
DC-3-affären|Ett svenskt signalspaningsplan sköts ned av Sovjetunionen över Östersjön 1952, och omständigheterna hemlighölls länge.
Haijbyaffären|En långdragen svensk rätts- och presskandal kring Kurt Haijby och påståenden om kung Gustaf V präglade mitten av seklet.
Vipeholmsexperimenten|Personer med intellektuella funktionsnedsättningar utsattes under 1940- och 1950-talen för oetiska försök med stora mängder socker för att studera karies.
Norrmalmstorgsdramat|Ett bankrån med gisslan 1973 gav internationell spridning åt uttrycket Stockholmsyndromet.
punkvågen|Band som Ebba Grön, KSMB och Attentat blev centrala namn när denna musikrörelse fick ett tydligt svenskt genombrott kring slutet av 1970-talet.
Måndagsdemonstrationerna|Svenskar samlades 1990–1991 återkommande till stöd för de baltiska staternas självständighet från Sovjetunionen.
Löntagarfonderna|Det omstridda ekonomiska systemet infördes på 1980-talet för att föra delar av företagens vinster till kollektivt ägda fonder.
Hårsfjärdsincidenten 1982|Svenska marinen genomförde en omfattande ubåtsjakt i Stockholms skärgård efter flera indikationer på främmande undervattensverksamhet.
Boforsaffären|Misstankar om mutor och otillåtna vapenaffärer kring det svenska företaget skapade en långvarig skandal under 1980-talet.
Kreugerkraschen|Finansmannen Ivar Kreugers död 1932 följdes av en dramatisk kollaps i hans internationella företagsimperium.
Saltsjöbadsandan|Samarbetsmodellen mellan arbetsmarknadens parter växte fram efter avtalet mellan LO och SAF 1938.
Neutralitetspolitiken|Sverige stod utanför båda världskrigen och senare militära allianser och beskrev länge sin säkerhetslinje med detta begrepp.
Rekordåren|Den snabba ekonomiska tillväxten och moderniseringen under 1950- och 1960-talen sammanfattas ofta med detta uttryck.
M/S Estonia-katastrofen|Passagerarfärjan sjönk i Östersjön 1994 på väg från Tallinn till Stockholm och 852 människor omkom.
EU-folkomröstningen 1994|Svenska väljare sade med knapp majoritet ja till medlemskap, som började den 1 januari året därpå.

@Amerikanska presidenter|Vem är
George Washington|Han ledde kontinentalarmén under revolutionen och blev 1789 den första personen att inneha USA:s högsta ämbete.
William Howard Taft|Han är den enda personen som både har varit USA:s president och senare chefsdomare i landets högsta domstol.
Gerald Ford|Han blev president utan att ha valts till vare sig president eller vicepresident och benådade senare Richard Nixon.
Millard Fillmore|Han blev president 1850 efter Zachary Taylors död och var den siste presidenten från Whigpartiet.
Barack Obama|Han valdes 2008 och blev den första afroamerikanen att tjänstgöra som USA:s president.
Thomas Jefferson|Han skrev huvuddelen av självständighetsförklaringen och genomförde som president det stora Louisianaköpet.
Franklin Pierce|Han var president under 1850-talet när konflikterna kring slaveriets expansion i territorierna blev allt hårdare.
Harry S. Truman|Han tog över efter FDR 1945 och fattade beslutet att använda atombomber mot Japan.
Dwight D. Eisenhower|Efter tiden som överbefälhavare i Europa valdes han till president 1952 och stödde byggandet av interstate-motorvägarna.
Rutherford B. Hayes|Han tillträdde efter det omstridda valet 1876 och hans mandatperiod förknippas med slutet på Reconstruction i Södern.
James Madison|Konstitutionens viktiga arkitekt var landets fjärde president och ledde USA under 1812 års krig.
James Monroe|Hans namn förknippas med en utrikespolitisk doktrin från 1823 som varnade europeiska makter för nya ingrepp i Amerika.
Andrew Jackson|Krigshjälten från New Orleans blev en populistisk president men är också starkt kritiserad för indianfördrivningen.
Ulysses S. Grant|Unionens främste general under inbördeskrigets slut blev senare president under rekonstruktionstiden.
Woodrow Wilson|Han ledde USA under första världskriget och presenterade de fjorton punkterna samt idén om Nationernas förbund.
Calvin Coolidge|Han tog över efter Harding 1923 och blev känd som en fåordig republikan under 1920-talets företagsvänliga politik.
Herbert Hoover|Han var president när börskraschen 1929 och den stora depressionen slog till och förlorade valet mot FDR.
Lyndon B. Johnson|Han tog över efter Kennedys mord, drev Great Society och eskalerade samtidigt USA:s krigföring i Vietnam.
Richard Nixon|Han öppnade relationer med Kina men tvingades avgå 1974 efter Watergateskandalen.
Jimmy Carter|Före presidenttiden var han jordnötsodlare; i Vita huset medlade han fram Camp David-avtalen men plågades politiskt av Irans gisslankris.
George H.W. Bush|Han var president när Sovjetunionen föll och ledde den amerikanska koalitionen under Gulfkriget 1991.
Grover Cleveland|Han är den ende presidenten från 1800-talet som tjänstgjorde två mandatperioder som inte följde direkt på varandra.
William Henry Harrison|Han höll ett mycket långt installationstal i kallt väder och dog bara omkring en månad efter att ha tillträtt.
James K. Polk|Under hans enda mandatperiod expanderade USA kraftigt västerut efter kriget mot Mexiko och en gränsuppgörelse med Storbritannien.
Chester A. Arthur|Han blev president efter mordet på James Garfield och stödde en viktig reform av den federala statstjänsten.

@Brittiska kungahuset|Vem är
[VEM]Prinsessan Anne|Hon är enda dotter till Elizabeth II och har länge varit en av kungafamiljens mest arbetande medlemmar.
Charles III|Han blev kung 2022 efter sin mors död och hade dessförinnan varit tronföljare i flera årtionden.
Diana|Hon gifte sig 1981 med dåvarande prins Charles och blev en global mediefigur innan hon omkom i Paris 1997.
William, prins av Wales|Han är äldste son till Charles och Diana och står först i tronföljden efter sin far.
Catherine, prinsessa av Wales|Hon gifte sig 2011 med prins William och var tidigare känd som Kate Middleton.
George VI|Efter sin brors abdikation tog han motvilligt över tronen och ledde monarkin genom andra världskriget.
Edward VIII|Han avsade sig tronen 1936 för att kunna gifta sig med den frånskilda amerikanskan Wallis Simpson.
[VEM]Elizabeth Bowes-Lyon|Hon var gift med George VI, mor till Elizabeth II och blev efter makens död allmänt känd som drottningmodern.
Albert, prinsgemål|Som drottning Victorias tyskfödde make stödde han vetenskap, industri och den stora världsutställningen 1851.
[VEM]Edward, hertig av Edinburgh~prins Edward|Han är Elizabeth II:s yngste son, född 1964, och fick 2023 samma hertigtitel som hans far Philip hade burit.
Philip, hertig av Edinburgh|Han föddes som prins av Grekland och Danmark, gifte sig med Elizabeth 1947 och var hennes make i över sjuttio år.
Margaret|Elizabeth II:s yngre syster blev under efterkrigstiden känd för sitt glamourösa offentliga liv och komplicerade kärleksrelationer.
Harry, hertig av Sussex|Som yngre son till Charles och Diana lämnade han tillsammans med sin hustru många kungliga uppdrag 2020.
Meghan, hertiginna av Sussex|Hon hade arbetat som amerikansk skådespelare innan hon gifte sig med prins Harry 2018 på Windsor Castle.
Camilla|Hon blev drottninggemål när Charles III besteg tronen och hade gift sig med honom 2005.
Mary av Teck|Hon var hustru till George V och farmor till Elizabeth II och blev en viktig kontinuitetsfigur för monarkin.
George V|Han var kung under första världskriget och bytte 1917 dynastins namn från det tyskklingande Sachsen-Coburg-Gotha till Windsor.
Alexandra av Danmark|Hon gifte sig med den blivande Edward VII och var drottninggemål från 1901 till 1910.
Louise Mountbatten|Hon var svensk drottning genom äktenskap med Gustaf VI Adolf men föddes in i en brittisk-tysk furstefamilj.
Zara Tindall|Anne Princess Royals dotter vann en olympisk silvermedalj i fälttävlan och har ingen kunglig titel.
Peter Phillips|Elizabeth II:s äldsta barnbarn är son till prinsessan Anne och föddes utan kunglig titel.
Lady Louise Windsor|Edward, hertig av Edinburghs dotter är ett av Elizabeth II:s yngsta barnbarn och har hållit en relativt låg offentlig profil.
James, earl av Wessex|Han är yngre barn till prins Edward och Sophie och barnbarn till Elizabeth II.
Sophie, hertiginna av Edinburgh|Hon gifte sig med prins Edward 1999 och har sedan dess utfört många officiella kungliga uppdrag.
Prinsessan Alexandra|Hon är barnbarn till George V, kusin till Elizabeth II och utförde kungliga uppdrag under många årtionden.

@Europa efter 1945|Vad är
Marshallhjälpen|USA finansierade återuppbyggnad i Västeuropa från 1948 genom ett program som också stärkte ekonomiskt samarbete.
Tysklands delning|Efter kriget växte 1949 två tyska stater fram: en västlig förbundsrepublik och en östlig socialistisk republik.
Romfördraget|Sex länder undertecknade 1957 avtalet som skapade Europeiska ekonomiska gemenskapen och Euratom.
Ungernupproret 1956|Sovjetiska stridsvagnar slog ned ett folkligt reformuppror i Budapest efter några dramatiska veckor.
Berlinluftbron|Västmakterna flög in bränsle och livsmedel under blockaden 1948–1949 för att försörja Västberlins invånare.
EFTA|Storbritannien, Sverige och flera andra länder bildade 1960 denna frihandelssammanslutning utanför dåvarande EEC.
nejlikerevolutionen|En nästan oblodig militärkupp i Portugal 1974 störtade den långvariga diktaturen och påskyndade avkoloniseringen.
spanska övergången|Efter Francos död 1975 gick landet stegvis från diktatur till parlamentarisk demokrati under kung Juan Carlos.
Gdańskavtalet~Gdanskavtalet|Genom denna uppgörelse i augusti 1980 accepterade Polens regering oberoende fackföreningar efter strejkerna vid Leninvarvet.
Sammetsrevolutionen|Massprotester i Tjeckoslovakien 1989 ledde fredligt till kommunistregimens fall och Václav Havels presidentskap.
Maastrichtfördraget|Avtalet från 1992 skapade Europeiska unionen och lade grunden för en gemensam valuta.
Jugoslaviens upplösning|Under 1990-talet bröts den federala staten sönder i flera länder genom en serie politiska konflikter och krig.
Daytonavtalet|Överenskommelsen 1995 satte stopp för kriget i Bosnien och Hercegovina och skapade en komplicerad statsordning med två huvudenheter.
Schengenområdet|Flera europeiska länder avskaffade systematiskt gränskontroller mellan sig och skapade ett område för fri rörlighet.
Sammetsskilsmässan|Tjeckoslovakien delades fredligt den 1 januari 1993 i två självständiga stater.
Greklands juntaregim|Militärer styrde landet 1967–1974 innan demokratin återupprättades efter Cypernkrisen.
ETA|Den baskiska separatistorganisationen använde våld under flera decennier i Spanien och Frankrike innan den slutligen upplöstes.
Europeiska enhetsakten|Avtalet från 1986 drev på arbetet mot en gemensam inre marknad och utvidgade samarbetet inom dåvarande EG.
Helsingforsprocessen|Konferensen 1975 band samman frågor om säkerhet, gränser, samarbete och mänskliga rättigheter mellan öst och väst.
Ostpolitik|Västtysklands regering under Willy Brandt sökte närmare kontakter och avtal med Östtyskland och andra öststater.
Cypernkrisen 1974|En grekstödd kupp följdes av turkisk invasion och ön förblev därefter delad i två huvudsakliga områden.
Élyséefördraget~Elyséefördraget|Detta fransk-västtyska vänskapsfördrag undertecknades 1963 av Charles de Gaulle och Konrad Adenauer och blev en symbol för försoningen mellan länderna.
Operation Gladio|Hemliga västliga stay-behind-nätverk organiserades i flera europeiska länder för motstånd vid en möjlig sovjetisk invasion.
Europaparlamentets direktval|Medborgare i medlemsländerna fick 1979 för första gången rösta direkt fram representanter till den europeiska församlingen.
Europarådet|Organisationen grundades 1949 för demokrati, mänskliga rättigheter och rättsstat och är skild från Europeiska unionen.

@Franska revolutionen|Vad är
Bastiljens stormning|Den 14 juli 1789 angrep Parisbor en kunglig fästning och fängelse, en händelse som blev revolutionens främsta symbol.
giljotinen|Den mekaniska avrättningsapparaten med fallande kniv användes i stor skala under revolutionen och skräckväldet.
[VEM]Gilbert du Motier, markis de Lafayette|Efter att ha blivit hjälte i det amerikanska frihetskriget försökte den franske aristokraten förena monarki med konstitutionella reformer under revolutionens tidiga skede.
[VEM]Ludvig XVI|Han försökte fly Frankrike, ställdes senare inför rätta och avrättades i januari 1793.
Tredje ståndet|Borgare, bönder och stadsbefolkning räknades till denna stora samhällsgrupp som saknade adelns och prästerskapets privilegier.
Nationalförsamlingen|Representanter från tredje ståndet förklarade 1789 att de representerade nationen och skapade denna nya politiska församling.
Eden i bollhuset|Ledamöter lovade i juni 1789 att inte skiljas förrän Frankrike hade fått en konstitution.
Människans och medborgarens rättigheter|En deklaration från augusti 1789 slog fast principer om frihet, jämlikhet och nationell suveränitet.
jakobinerna|Den radikala politiska klubben förknippas med Robespierre och den mest hårdföra fasen av revolutionen.
skräckväldet|Åren 1793–1794 avrättades tusentals misstänkta fiender till revolutionen under denna radikala period.
[VEM]Robespierre|Advokaten och jakobinen blev en ledande gestalt i välfärdsutskottet innan han själv störtades och avrättades 1794.
[VEM]Marat|Han skrev den radikala tidningen Folkets vän och mördades i sitt badkar av Charlotte Corday.
[VEM]Danton|Tidigt var han en ledande och kraftfull revolutionär, men 1794 avrättades han efter konflikt med Robespierres grupp.
sansculotterna|Radikala stadsbor kallades så eftersom de förknippades med långbyxor i stället för aristokratins knäbyxor.
Välfärdsutskottet|Den mäktiga kommittén styrde mycket av den revolutionära regeringens krigs- och säkerhetspolitik under skräckväldet.
Vendéeupproret|Ett stort rojalistiskt och katolskt uppror mot revolutionsregeringen bröt ut 1793 i västra Frankrike.
den revolutionära kalendern|Republiken införde ett nytt tidssystem med nya månadsnamn och årtal räknade från monarkins fall.
Thermidorreaktionen|Robespierres fall i juli 1794 markerade början på en mer moderat fas och slutet på skräckväldets kulmen.
Direktoriet|Frankrike styrdes 1795–1799 av en femmannaledning under en konstitution som följde efter jakobinernas fall.
Brumairekuppen|Napoleon grep makten i november 1799 genom denna statskupp och ersatte direktoriet med konsulatet.
assignater|Revolutionsregeringen gav ut dessa papperspengar med kyrkojord som säkerhet, men de drabbades av kraftig inflation.
Feuillanterna|Denna moderata revolutionära grupp ville behålla en konstitutionell monarki och bröt med mer radikala jakobiner.
Cordelierklubben|Danton och Desmoulins var knutna till denna folkligare och radikalare politiska klubb i Paris.
levée en masse|1793 mobiliserade republiken befolkning och resurser i stor skala för kriget genom denna allmänna värnpliktsliknande åtgärd.
Carmagnole|En folklig revolutionär sång och dans, samt en kort jacka, förknippades med sansculotternas politiska kultur.

@Amerikanska inbördeskriget|Vad är
Gettysburgslaget|Tre dagars strider i Pennsylvania i juli 1863 slutade med ett avgörande nederlag för Robert E. Lees invasion av norr.
Emancipationsproklamationen|Abraham Lincoln förklarade från 1863 slavar fria i de upproriska områden som fortfarande låg utanför unionens kontroll.
Konfederationen|Elva sydstater bröt sig ur USA och bildade denna stat med Jefferson Davis som president.
Unionen|Nordstaterna och den federala regeringen kämpade under detta samlingsnamn för att bevara USA.
slaget vid Fort Sumter|Konfedererade styrkor besköt en federal befästning i Charleston hamn i april 1861 och kriget började.
[VEM]Robert E. Lee|Efter en karriär som amerikansk arméofficer blev han den mest kände befälhavaren för konfederationens armé i Virginia.
[VEM]Jefferson Davis|Han var president för Amerikas konfedererade stater under hela det amerikanska inbördeskriget.
Underground Railroad|Ett hemligt nätverk av rutter och hjälpare förde förrymda slavar mot frihet före och under kriget.
slaget vid Antietam|En enda dag i Maryland 1862 blev den blodigaste i amerikansk militärhistoria och gav Lincoln politiskt utrymme för emancipation.
Shermans marsch till havet|Unionsgeneralen William T. Sherman marscherade 1864 genom Georgia och förstörde järnvägar och ekonomisk infrastruktur.
Vicksburgs kapitulation|Unionens seger den 4 juli 1863 gav kontroll över Mississippi och delade konfederationen geografiskt.
Appomattox Court House|Robert E. Lee kapitulerade inför Ulysses S. Grant här den 9 april 1865, vilket i praktiken avgjorde huvudkriget.
Ironclads|Pansrade ångdrivna örlogsfartyg möttes berömt när Monitor och Virginia stred vid Hampton Roads 1862.
Pickett's Charge|Tusentals konfedererade soldater gick över öppen mark mot unionens centrum på Gettysburgs tredje dag och slogs tillbaka.
Anaconda-planen|Unionens strategi syftade till att blockera sydstaternas kust och kontrollera Mississippi så att konfederationen långsamt ströps.
Freedmen's Bureau|Den federala myndigheten skapades 1865 för att hjälpa frigivna slavar och fattiga sydstatare med bland annat skolor och kontrakt.
54th Massachusetts|Detta afroamerikanska unionsregemente blev känt för sitt anfall mot Fort Wagner och inspirerade filmen Glory.
[VEM]Stonewall Jackson|Han fick sitt berömda smeknamn vid Bull Run och dog 1863 efter att av misstag ha beskjutits av egna konfedererade styrkor.
Copperheads|Nordliga demokrater som motsatte sig kriget och ville förhandla med konfederationen fick detta nedsättande smeknamn.
Merrimack-Virginia|Det tidigare unionsfartyget byggdes om till ett konfedererat pansarskepp och mötte USS Monitor i ett historiskt sjöslag.
Wilderness-fälttåget|Grant och Lee möttes 1864 i täta skogar i Virginia i början av en nästan oavbruten offensiv mot Richmond och Petersburg.
Cold Harbor|Ett frontalanfall 1864 gav unionen mycket stora förluster på kort tid och blev ett av Grants mest kritiserade beslut.
Andersonville|Det konfedererade krigsfångelägret i Georgia blev ökänd för svält, sjukdom och mycket hög dödlighet.
Trentaffären|Ett unionsfartyg stoppade 1861 ett brittiskt postfartyg och grep två konfedererade diplomater, vilket nästan skapade kris med Storbritannien.
CSS Alabama|Detta konfedererade kaparfartyg byggdes i Storbritannien och angrep unionshandel över världshaven innan det sänktes 1864.

@Napoleon|Vad är
freden i Tilsit|Efter segern över Preussen och Ryssland 1807 mötte den franske kejsaren tsar Alexander I och slöt denna uppgörelse.
Elba|Efter sin första abdikation 1814 förvisades den franske kejsaren till denna medelhavsö, varifrån han senare återvände.
Hundra dagarna|Perioden mellan Napoleons återkomst från Elba och hans andra nederlag 1815 kallas med detta uttryck.
slaget vid Austerlitz|Napoleon besegrade 1805 en större österrikisk-rysk armé i en seger som ofta räknas som hans främsta.
kontinentalblockaden|Denna handelspolitik skulle ekonomiskt isolera Storbritannien genom att stänga stora delar av Europas marknader för brittiska varor.
Code Napoléon|Den franska civillagen från 1804 samlade och standardiserade rättsregler och fick stor internationell påverkan.
slaget vid Trafalgar|Den brittiska flottan under Nelson besegrade 1805 Frankrike och Spanien och säkrade brittiskt sjöherravälde.
Rysslandsfälttåget 1812|Den stora armén marscherade mot Moskva men förstördes till stor del av strider, brist på försörjning och vinter.
slaget vid Leipzig|Flera europeiska makter besegrade Napoleon 1813 i den enorma ”folkslaget”, vilket tvingade honom tillbaka mot Frankrike.
[VEM]Josephine de Beauharnais|Napoleons första hustru blev kejsarinna men äktenskapet upplöstes när paret inte fick någon gemensam arvinge.
[VEM]Marie Louise av Österrike|Han gifte sig 1810 med denna habsburgska ärkehertiginna, som blev mor till hans ende legitime son.
S:t Helena|Efter Waterloo fördes Napoleon till denna mycket avlägsna brittiska ö i Sydatlanten där han dog 1821.
Grande Armée|Den franska kejsarens stora multinationella fältarmé bar detta namn och nådde sin största omfattning inför invasionen av Ryssland.
slaget vid Jena-Auerstedt|Frankrike krossade 1806 Preussens huvudarméer i två nästan samtidiga slag och ockuperade snart Berlin.
slaget vid Wagram|I detta slag nära Wien i juli 1809 besegrade Napoleons armé Österrike under ärkehertig Karl.
Spanska självständighetskriget|Fransk ockupation utlöste från 1808 ett långvarigt krig på Iberiska halvön med gerilla och brittiskt stöd.
Egyptenexpeditionen|Napoleon invaderade 1798 Egypten i ett försök att hota brittiska intressen och tog med sig många vetenskapsmän.
slaget vid pyramiderna|Franska styrkor besegrade mamlukiska ryttare nära Kairo 1798 kort efter landstigningen i Egypten.
Malmaison|Detta slott utanför Paris köptes av Joséphine 1799 och blev hennes hem, även efter skilsmässan från Napoleon.
konsulatet|Denna regeringsperiod i Frankrike varade från statskuppen 1799 till kejsardömets införande 1804. Napoleon var landets förste konsul.
konkordatet 1801|Överenskommelsen mellan Napoleon och påven normaliserade relationen mellan den franska staten och den katolska kyrkan.
Rhenförbundet|Napoleon organiserade 1806 många tyska stater i denna union under franskt beskydd efter det tysk-romerska rikets upplösning.
[VEM]Marskalk Ney|Han kallades ”den tappraste av de tappra” och avrättades efter att ha anslutit sig till Napoleon under Hundra dagarna.
[VEM]Davout|Vid Auerstedt 1806 vann han som marskalk en spektakulär fransk seger trots att hans styrka var klart mindre än den preussiska armén.
Lodi|Den unge generalen vann 1796 en uppmärksammad seger över österrikiska styrkor vid en bro i norra Italien.

@Egypten och faraonerna|Vad är
Djoser|Denna farao från tredje dynastin förknippas med trappstegspyramiden i Saqqara, ritad av Imhotep.
Cheopspyramiden|Den största pyramiden vid Giza byggdes som gravmonument under fjärde dynastin och är det enda kvarvarande antika underverket.
Thutmosis III|Den militäre härskaren genomförde många fälttåg i Levanten och utvidgade riket kraftigt under artonde dynastin.
Konungarnas dal|Många faraoner från Nya riket begravdes i uthuggna gravar i detta ökenområde nära Luxor.
[VEM]Nefertiti|Hon var gift med Akhenaton, och hennes berömda målade kalkstensbyst finns i Berlin.
[VEM]Ramses II|Han regerade länge, lät resa de stora templen vid Abu Simbel och stred mot hettiterna vid Kadesh.
Seti I|Denna farao lät uppföra ett stort tempel i Abydos och var far till en ännu mer långlivad härskare.
Senusret III|Härskaren från mellersta riket stärkte kontrollen över Nubien och lät bygga flera fästningar längs Nilen.
[VEM]Akhenaton|Han försökte koncentrera religionen kring solskivan Aten och grundade en ny huvudstad vid Amarna.
Anubis|Den schakalliknande guden förknippades med mumifiering, gravar och vägledning av de döda.
Osiris|Denna gud härskade över dödsriket och avbildades ofta mumieformad med krona och kungliga attribut.
Isis|Gudinnan var Osiris hustru och Horus mor och blev en av de mest spridda egyptiska gudomarna även utanför Egypten.
Horus|Falkguden förknippades med kungamakten, himlen och den levande faraon och var son till Isis och Osiris.
Ra|Solguden färdades enligt myten över himlen om dagen och genom underjorden om natten.
maat|Detta centrala egyptiska begrepp stod för sanning, rättvisa, kosmisk ordning och balans.
canopkärl|Vid mumifiering förvarades flera inre organ i särskilda behållare som ofta hade skyddande gudomliga huvuden.
Dödsboken|Samlingar av magiska texter och instruktioner placerades i gravar för att hjälpa den döde genom livet efter döden.
Amarnaperioden|Den korta religiösa och konstnärliga epoken under Akhenaton kännetecknas av Atenkult och ovanligt naturalistiska bilder.
Narmerpaletten|Detta ceremoniella stenföremål visar en tidig kung och tolkas ofta som symbol för enandet av Övre och Nedre Egypten.
Djosers trappstegspyramid|Imhotep ritade detta tidiga monument i Saqqara som utvecklade mastabagraven till en pyramid i flera steg.
Ammit|Detta mytiska monster med delar av krokodil, lejon och flodhäst kunde sluka hjärtat hos den som misslyckades i dödsdomen.
shabti|Små gravfigurer placerades hos den döde för att symboliskt utföra arbete i livet efter detta.
Sedfestivalen|Denna kungliga jubileumsritual skulle förnya faraons kraft och firades traditionellt efter en längre tid på tronen.
Abydos|Den heliga staden i södra Egypten blev ett viktigt centrum för Osiriskult och plats för kungliga gravar och tempel.
Ptolemeiska riket|Efter Alexander den stores erövring styrde en makedonsk dynasti Egypten från Alexandria fram till den romerska annekteringen.

@Romarriket|Vad är
romanisering|Processen där språk, lagar, byggnadssätt och levnadsvanor från Rom spreds och blandades med lokala traditioner i provinserna kallas så.
[VEM]Nero|Han var romersk kejsare när den stora branden drabbade Rom år 64 och har fått ett mörkt eftermäle i antika källor.
[VEM]Augustus|Octavianus antog denna titel och blev den förste romerske kejsaren efter segern över Marcus Antonius och Kleopatra.
SPQR|Förkortningen stod för senaten och det romerska folket och syntes på inskrifter, mynt och militära standar i Rom.
Via Appia|Den berömda stenlagda vägen började byggas 312 f.Kr. och band samman Rom med södra Italien.
Praetoriangardet|Den kejserliga livvakten kunde skydda kejsaren men också påverka tronföljder och ibland delta i statskupper.
Hadrianus mur|Den romerska gränsbefästningen byggdes tvärs över norra Britannien under kejsar Hadrianus på 120-talet.
latifundium|Stora jordegendomar som ofta brukades av slavar eller arrendatorer kallades med detta latinska ord.
romerskt medborgarskap|Rättslig status gav bland annat juridiska privilegier och utvidgades 212 till nästan alla fria män i riket.
Tolv tavlornas lag|Den tidiga romerska lagkodifikationen skrevs ned på 400-talet f.Kr. och blev en grund för senare rättstradition.
principatet|Den tidiga kejsartidens statsskick behöll republikanska ämbeten i formen medan kejsaren i praktiken hade den avgörande makten.
dominatet|Den senare kejsartidens mer öppet monarkiska styre förknippas särskilt med Diocletianus och hans efterträdare.
tetrarkin|Diocletianus försökte stabilisera riket genom att dela ledningen mellan två överkejsare och två underkejsare.
Caracallas edikt|År 212 gav kejsaren nästan alla fria invånare i imperiet romerskt medborgarskap genom detta beslut.
Limes|Gränszoner med fort, vägar, vakttorn och ibland murar längs imperiets ytterkanter benämndes med detta latinska begrepp.
Forum Trajanum|Detta stora monumentala torg i Rom byggdes under kejsar Trajanus och innehöll bland annat en berömd spiralkolonn.
Ara Pacis|Augustus lät uppföra detta rikt dekorerade fredsaltare som hyllade den stabilitet hans styre påstods ha skapat.
Cannae|Hannibal omringade och krossade en mycket större romersk armé i denna katastrofala strid år 216 f.Kr.
Teutoburgerskogen|Tre romerska legioner under Varus förstördes år 9 e.Kr. i ett bakhåll lett av Arminius.
Romerska legionens örn|Varje legion hade en helig standard med denna fågel, och förlusten av den betraktades som en stor skam.
annona|Den romerska staten organiserade spannmålsförsörjningen till huvudstaden genom detta system för import och utdelning.
cursus honorum|Ambitiösa romerska politiker följde denna traditionella serie av ämbeten från lägre poster mot konsulatet.
clientes|Mindre mäktiga romare kunde knyta sig till en inflytelserik patron i ett ömsesidigt socialt beroendeförhållande med detta namn.
vestalerna|Dessa prästinnor vaktade den heliga elden i Vestas tempel och hade ovanliga rättigheter i det romerska samhället.
spolia opima|En romersk befälhavare som personligen dödade en fientlig ledare i envig kunde i sällsynta fall vinna detta prestigefyllda krigsbyte.

@Antikens Grekland|Vad är
Delos|Den lilla ön i Egeiska havet var ett viktigt heligt centrum för Apollon och blev senare centrum för ett atenskt sjöförbund.
agoge|Detta namn användes för det statligt organiserade uppfostringssystemet för pojkar i Sparta, med sträng disciplin och träning för samhälls- och militärlivet.
Olympiska spelen i Olympia|Fria grekiska män tävlade här vart fjärde år till Zeus ära i en festival som inspirerat de moderna spelen.
Plataiai|Den stora grekiska segern år 479 f.Kr. avslutade den persiska invasionsarméns landfälttåg i Grekland.
Thermopyle|En liten grekisk styrka med kung Leonidas höll 480 f.Kr. ett smalt pass mot den persiska invasionsarmén.
Salamis|Grekiska flottor besegrade Xerxes större persiska flotta i ett trångt sund år 480 f.Kr.
Peloponnesiska kriget|Aten och Sparta ledde rivaliserande allianser i denna långa konflikt 431–404 f.Kr., som slutade med atenskt nederlag.
